logFC	AveExpr	t	P.Value	adj.P.Val	B
100042008	9.52327971535331	9.21329158834361	169.947714800399	3.09409644405198e-15	1.30702794104724e-12	24.1860401282873
13205	9.97098363245638	10.0409290995583	172.001521614189	2.81670101822334e-15	1.30702794104724e-12	24.1596123129305
13627	11.6903515256059	11.5249021524914	189.084100743643	1.34332517090171e-15	1.30702794104724e-12	24.148757431588
56040	9.31133511512214	9.12484400350511	165.827658961771	3.74864454306485e-15	1.30702794104724e-12	24.1166328213836
55949	9.30204813499013	9.21591458323549	165.704283019675	3.77052398543148e-15	1.30702794104724e-12	24.1148536014594
13629	11.2610917778255	11.2175189613196	181.554174777865	1.84581228866445e-15	1.30702794104724e-12	24.1078474374291
27050	9.92347233970925	9.64740405059853	169.171886197024	3.20679986652391e-15	1.30702794104724e-12	24.1020447726431
15516	11.1059105662369	10.6735239914016	179.261422741093	2.0386683013021e-15	1.30702794104724e-12	24.0960894205327
67891	9.61310310283709	9.52950933972461	166.735298370238	3.59201526614287e-15	1.30702794104724e-12	24.093846035725
17705	11.4290516781828	12.1796778200166	182.61943477517	1.76327474355775e-15	1.30702794104724e-12	24.0921233304248
13690	9.97893363025255	9.94745325119153	167.166102470783	3.52026556566326e-15	1.30702794104724e-12	24.0446744994974
14694	9.34507210815415	9.18530310365028	162.280641291683	4.4391332054278e-15	1.30702794104724e-12	24.0199525101782
11928	9.87673580995298	9.72742483628606	165.146655776233	3.87122685093565e-15	1.30702794104724e-12	24.0120906363537
12527	9.37725811770039	8.74261858770324	161.805831013844	4.54201289748619e-15	1.30702794104724e-12	24.0027927398325
53379	9.29459368281463	9.31802179554258	160.464498324335	4.8474793864609e-15	1.30702794104724e-12	23.9783662497316
170791	8.51307004158872	8.16141182583023	157.030189471371	5.74092677077231e-15	1.30702794104724e-12	23.9734933132782
17999	9.05124592981772	9.06738699407652	158.7358202912	5.27590463959447e-15	1.30702794104724e-12	23.9627193416976
11947	9.70612758850744	10.08821832991	161.587463631004	4.59022843840657e-15	1.30702794104724e-12	23.9480924948551
17710	11.9533245403595	12.59633883739	180.66276425734	1.918237907939e-15	1.30702794104724e-12	23.9427392929355
20733	8.44252954282594	8.44889505597087	155.642549281299	6.15350653685859e-15	1.30702794104724e-12	23.939584724475
93687	8.30853542487308	8.1774444405401	153.03788000623	7.02150882073432e-15	1.30702794104724e-12	23.8733938182354
11840	8.24832743011627	8.52733995911412	152.733325904512	7.13172822345844e-15	1.30702794104724e-12	23.869390424777
14312	9.34464535347027	8.98099412517225	156.226896033206	5.9758210062674e-15	1.30702794104724e-12	23.8536036404409
51810	8.72792886774882	8.79886405245975	153.350347820903	6.91041781284163e-15	1.30702794104724e-12	23.8427789625733
19989	8.84432001410745	8.58857580243335	153.685278801397	6.79353619955124e-15	1.30702794104724e-12	23.8405531218337
100504632	9.61870547651746	9.50521936623256	157.040466347991	5.73798990213087e-15	1.30702794104724e-12	23.838023790677
66480	8.60581405466686	8.50252353151509	152.679098779296	7.15155720719631e-15	1.30702794104724e-12	23.8345387365148
22627	8.71193179068039	8.79388895543435	152.931442650081	7.05980907472118e-15	1.30702794104724e-12	23.8317228275722
76846	8.27477753155282	7.92618634651378	151.403779754793	7.63631068490263e-15	1.30702794104724e-12	23.8256230028837
15481	10.5634740244992	10.7293806425445	162.371571509755	4.41973216317383e-15	1.30702794104724e-12	23.8254941299941
667035	8.04817315833797	7.91271823238317	150.746006872524	7.90074699755772e-15	1.30702794104724e-12	23.8240977115196
22041	11.9842856292707	14.1542641500277	173.898680357192	2.58517120607887e-15	1.30702794104724e-12	23.8068382702521
100042880	8.29716033631002	8.00325734701354	150.297003459237	8.08718434502732e-15	1.30702794104724e-12	23.7886183284752
17721	10.8424459082546	11.3618141699507	162.688451579508	4.35286554307443e-15	1.30702794104724e-12	23.7834093745796
81898	8.89184186351968	8.88882163370624	151.645223717308	7.54176204602254e-15	1.30702794104724e-12	23.7733101581221
12215	8.45009828408578	8.23458459523038	150.075905454464	8.18080930625516e-15	1.30702794104724e-12	23.7678783445801
17709	11.693446523618	12.3136734543071	168.735095236948	3.27228493313735e-15	1.30702794104724e-12	23.7595105961952
11837	9.62242022859303	9.50357552887307	154.155419465149	6.63321271831878e-15	1.30702794104724e-12	23.7553503391316
53761	8.75242016402529	8.49308290220131	150.504352098937	8.00047839257623e-15	1.30702794104724e-12	23.7525706232411
17775	8.33344739030917	7.95784986558586	149.175607307975	8.57487690940746e-15	1.30702794104724e-12	23.7494677209075
18453	8.35577499592761	9.14198232385757	149.004465368201	8.65218456154824e-15	1.30702794104724e-12	23.7419732046739
17706	8.60747894034298	9.26384899145107	149.713694835094	8.3368428629557e-15	1.30702794104724e-12	23.741782564968
14683	8.82871655348955	9.1408777721204	150.386412340945	8.04966736988767e-15	1.30702794104724e-12	23.7409795878593
11946	9.03859598318253	9.53639815989436	151.025980968835	7.78695016010777e-15	1.30702794104724e-12	23.7376583270567
66105	7.7800001782939	7.67914997403987	147.249291425238	9.4920791044316e-15	1.30702794104724e-12	23.7314182026088
19046	7.96602737426547	8.16404348211591	147.601396716962	9.31647021719014e-15	1.30702794104724e-12	23.7284364263451
110611	9.1252854165467	9.8323626412817	150.970447141608	7.8093743895355e-15	1.30702794104724e-12	23.7256855316647
58810	8.08181340104864	8.04253087426874	147.793072854936	9.22241576186608e-15	1.30702794104724e-12	23.7254468480272
11911	8.23489389081845	8.11316570604641	147.918275439449	9.16155783646409e-15	1.30702794104724e-12	23.7169725163256
13207	10.0090986857165	9.79397176289902	154.77262096287	6.4291783760371e-15	1.30702794104724e-12	23.7155166051607
67427	8.13067775620763	8.04215051263032	147.521899687301	9.3557959899118e-15	1.30702794104724e-12	23.7124872168854
59026	8.42001977624425	8.35219235268617	148.000010351398	9.12207286921002e-15	1.30702794104724e-12	23.7036265822851
625054	7.97077308959977	7.81174211334641	146.739601537447	9.75293431908571e-15	1.30702794104724e-12	23.6992500252804
19988	8.21200476452315	8.00365578774899	147.312537401845	9.46026264595689e-15	1.30702794104724e-12	23.698894703843
20602	7.87042962903281	7.29414463382993	146.299000137775	9.98495869236646e-15	1.30702794104724e-12	23.6923029804965
12314	8.01065058118432	7.95230362104264	146.601339888402	9.82508286332359e-15	1.30702794104724e-12	23.6914388902274
16819	10.7443546743625	11.109067846064	158.022455414406	5.46502283768062e-15	1.30702794104724e-12	23.6826260542323
19386	7.69572988787972	8.00084971164661	145.513688034244	1.04141152923067e-14	1.30702794104724e-12	23.6790027477052
12321	8.13739291893036	8.38876479609641	146.516768581253	9.86951101371624e-15	1.30702794104724e-12	23.6784140915584
67945	8.72759502973934	8.86081954070703	148.042691606067	9.10153046752783e-15	1.30702794104724e-12	23.6765739605876
19205	7.96593675206647	8.01508478226938	145.85754620881	1.02236946647137e-14	1.30702794104724e-12	23.6698143696424
110213	8.81957462055742	9.32350818942782	148.116899554846	9.06593842269479e-15	1.30702794104724e-12	23.6697425083063
14688	8.14094175713877	7.97752420063863	146.261669058813	1.00049019095363e-14	1.30702794104724e-12	23.6695534618033
20918	8.55648309105236	8.19895383028986	147.277657578497	9.47779435426401e-15	1.30702794104724e-12	23.6677001344839
17708	13.1416738958943	13.8368522359212	179.990560332106	1.97497522171107e-15	1.30702794104724e-12	23.665303137404
104318	7.96228412154562	7.62437681325436	145.653391301698	1.03362725488619e-14	1.30702794104724e-12	23.6631519579434
20088	8.53969505683235	8.28688496059918	146.883729515338	9.67835998445178e-15	1.30702794104724e-12	23.6562567524029
19268	8.68296787568129	8.52750890532277	147.225836530019	9.5039089629607e-15	1.30702794104724e-12	23.6542608795614
20525	7.7717825491807	8.1075037420152	144.919812985273	1.07524853994032e-14	1.30702794104724e-12	23.6527267508418
19921	8.0396293815759	7.89185827583893	145.476256022727	1.04350845899378e-14	1.30702794104724e-12	23.6510209286607
18674	7.97752420709718	8.15818224799439	145.313027107677	1.05270832282188e-14	1.30702794104724e-12	23.6503354163099
19156	9.87191532244019	10.1122468893383	151.662987569735	7.53485809238657e-15	1.30702794104724e-12	23.6461560043195
215418	8.3005364557067	8.23591615561548	145.936442394021	1.01805596452193e-14	1.30702794104724e-12	23.6454843774362
83925	9.05934927417149	8.55713644430312	147.986234159238	9.12871448154418e-15	1.30702794104724e-12	23.6396197518467
20054	8.86656530576534	8.51282033591318	147.301735700203	9.46568801217606e-15	1.30702794104724e-12	23.6385169212736
26961	9.66409118247059	9.59941903341906	150.358454005993	8.06137786796668e-15	1.30702794104724e-12	23.6367922962529
192662	7.88463248552247	7.89080203534594	144.668339113969	1.08994900560114e-14	1.30702794104724e-12	23.6353744640046
268373	8.30027821298096	8.33416226511632	145.57736611505	1.03785521237961e-14	1.30702794104724e-12	23.6333793191939
667739	9.75306127214728	9.51499829223254	150.642717433721	7.94320216474164e-15	1.30702794104724e-12	23.6328918720965
50493	8.08918565281368	8.39071684979963	145.002598360823	1.0704581609905e-14	1.30702794104724e-12	23.6309238287468
11848	7.61749088294726	7.58056888745809	143.892424891914	1.13675516834406e-14	1.30702794104724e-12	23.6285390914113
19143	8.70271094201641	8.72832441480418	146.183518063305	1.00467978059523e-14	1.30702794104724e-12	23.6180222559184
20103	7.75237036649258	7.445270035544	143.834383515301	1.14034658360144e-14	1.30702794104724e-12	23.6164043407973
100502825	8.69949868225532	8.43290596840458	146.054965261644	1.01161447051692e-14	1.30702794104724e-12	23.6140762997917
107358	8.2930463908696	8.55471796829563	144.872198441489	1.07801470675998e-14	1.30702794104724e-12	23.6100237069956
22668	8.15532734705148	8.03563214940164	144.504118604054	1.09967119522784e-14	1.30702794104724e-12	23.6085537064334
17722	8.98880689950893	9.50849998507986	146.737161368266	9.75420247201118e-15	1.30702794104724e-12	23.6070244825433
15381	7.76188011696936	7.53633089202345	143.471913586232	1.16306670160778e-14	1.30702794104724e-12	23.6029512563778
27205	8.60054381920667	6.5465131196443	145.407753801235	1.04735827543572e-14	1.30702794104724e-12	23.6015118394643
100034726	8.25063048460606	7.88371333137234	144.470724731344	1.10166012514787e-14	1.30702794104724e-12	23.5997590825166
14182	7.89788514004647	6.55214918562592	143.653617207813	1.15161407930811e-14	1.30702794104724e-12	23.5990392531311
217869	8.81103062058298	8.73223433034321	145.573448920618	1.03807358549993e-14	1.30702794104724e-12	23.5871634355425
18626	8.6483656828227	8.40713418797734	144.790440216268	1.08278319323789e-14	1.30702794104724e-12	23.5763304876685
17691	10.4759331085217	10.2202027029178	152.241480338007	7.31387445081733e-15	1.30702794104724e-12	23.569548801639
12631	8.35030495786272	8.17641447298046	143.511954924901	1.16053193809352e-14	1.30702794104724e-12	23.5584061279262
100043813	7.87563047393343	7.38866925119747	142.026895299443	1.25885904654213e-14	1.30702794104724e-12	23.5431045586656
226562	7.92789695491961	7.89729611268898	141.992942028143	1.2612144663739e-14	1.30702794104724e-12	23.5379808071915
751556	7.40487529512143	7.21085636463311	140.814779659866	1.34610880376369e-14	1.30702794104724e-12	23.5331547211206
13669	8.46628878334557	8.60962157225905	143.062029076395	1.18937614337143e-14	1.30702794104724e-12	23.5329987854083
20014	7.3362603588422	8.0316463765459	140.624065176962	1.36044824836877e-14	1.30702794104724e-12	23.5308138181376
19324	7.70046553633926	8.42092707204836	141.270721793965	1.31251315580563e-14	1.30702794104724e-12	23.5287749756688
67300	8.73519763552051	9.00695357951074	143.624529200866	1.15343889034669e-14	1.30702794104724e-12	23.5285290284751
53872	7.91223820246851	8.00637356352123	141.66134798138	1.28448111572477e-14	1.30702794104724e-12	23.5272701810512
23849	10.5593119300694	10.79508501692	151.22916952117	7.7055205669116e-15	1.30702794104724e-12	23.5269201819406
71994	7.44254500738026	6.94876374983666	140.658042277682	1.35788101423579e-14	1.30702794104724e-12	23.5247829045325
666295	8.02024558600992	7.72560868400782	141.661112845322	1.284497785138e-14	1.30702794104724e-12	23.5191197017172
268449	7.77251144951958	7.48626453722219	141.146168209325	1.32159592332357e-14	1.30702794104724e-12	23.518999360425
13194	8.60692312270433	8.63145587773185	142.561574762988	1.22241363419879e-14	1.30702794104724e-12	23.5034087762643
59013	8.7789239083655	8.35832545509825	142.960446553293	1.19599981779843e-14	1.30702794104724e-12	23.5015711705408
546663	7.93829309123466	7.75218140079192	140.434459933457	1.3748752942155e-14	1.30702794104724e-12	23.4808793860051
67760	8.60244457687791	8.69636494009968	141.853403564008	1.27094691266992e-14	1.30702794104724e-12	23.4789545844199
620678	7.81902080123005	7.59036093979977	140.074187070918	1.4027663942486e-14	1.30702794104724e-12	23.4764453852718
100043755	7.77497035455685	7.5146445223519	139.972925254492	1.41072022421078e-14	1.30702794104724e-12	23.4759114161352
19084	7.92765867881556	7.50661511569606	140.258205814434	1.38844136628712e-14	1.30702794104724e-12	23.4752258717202
53610	7.6462672946616	7.53023752239155	139.66713979529	1.43504922422056e-14	1.30702794104724e-12	23.4738366502976
16562	7.79757918323418	7.93770102553656	139.86602205411	1.41917240888026e-14	1.30702794104724e-12	23.4703261217207
14569	7.50246882243734	7.90579074014608	139.28809072381	1.46586667757111e-14	1.30702794104724e-12	23.4698122934051
17719	11.2541332682026	11.9721218929238	153.293938825034	6.93032529747413e-15	1.30702794104724e-12	23.4674553484994
100040929	7.48557861255209	7.14629423933548	139.1827542784	1.47456278010675e-14	1.30702794104724e-12	23.4670342247488
50849	7.82588567905729	7.83906886658243	139.676428234681	1.43430328205172e-14	1.30702794104724e-12	23.4612771657096
227723	7.75888717032652	7.58864102131978	139.5060801016	1.44805353483893e-14	1.30702794104724e-12	23.4598100433142
60595	9.28747786984811	9.42341608456365	143.134108015412	1.18470133796149e-14	1.30702794104724e-12	23.4531092587116
19941	7.6932715627948	7.36703171023899	139.172080908663	1.47544716705987e-14	1.30702794104724e-12	23.4520662524042
228033	7.51193421929294	8.18617278152957	138.755326856627	1.5104513150354e-14	1.30702794104724e-12	23.44916232358
12857	7.93935103604512	8.49434550600164	139.522669727302	1.44670793098967e-14	1.30702794104724e-12	23.4473398961623
17711	11.7227762709499	12.4116561534291	155.445406340658	6.21479121832845e-15	1.30702794104724e-12	23.4399717196034
66882	7.75703757752034	7.54924207720818	138.871726308658	1.50058128830306e-14	1.30702794104724e-12	23.436305478742
54401	7.49108683850764	7.42090523297519	138.206135149496	1.55801842165059e-14	1.30702794104724e-12	23.4298240850867
252870	7.33371457671695	7.59918981058633	137.880949112619	1.58697901782361e-14	1.30702794104724e-12	23.4279418964235
67420	7.34493512482473	7.27487496698152	137.731793457318	1.60046533660352e-14	1.30702794104724e-12	23.4214985978644
20442	7.28141176715052	7.487452852769	137.589625885124	1.61344023379933e-14	1.30702794104724e-12	23.4201667424972
621699	7.40916886097626	7.15292034541271	137.754040378879	1.5984456428194e-14	1.30702794104724e-12	23.4181048322771
15388	7.68786582654103	7.70193761219792	137.891839366405	1.58599937715809e-14	1.30702794104724e-12	23.4042789679126
666170	8.2428648847751	8.15405391438848	138.878712833384	1.49999118784609e-14	1.30702794104724e-12	23.4009631920958
14679	7.46411983486626	7.5065066256656	137.39866482001	1.631055362272e-14	1.30702794104724e-12	23.4008240817826
11487	7.55463824152862	6.73336682262828	137.430007703006	1.62814932999101e-14	1.30702794104724e-12	23.3959162312182
27176	7.61670005453996	7.53041738659643	137.50469046807	1.62124843840183e-14	1.30702794104724e-12	23.3944919616067
11843	8.26758941535634	8.46425021987422	138.635837739927	1.52065955600133e-14	1.30702794104724e-12	23.3900729365042
12521	7.67619445874891	8.06699327149817	137.478649364575	1.62365095474233e-14	1.30702794104724e-12	23.3893696856839
68693	7.39961476549265	7.38348845747588	136.98873626735	1.6696064910839e-14	1.30702794104724e-12	23.389319181935
16480	8.89114836768983	8.52312602089185	139.826015439071	1.42235016243649e-14	1.30702794104724e-12	23.3802737289403
12313	7.49436733220258	7.77525948677831	136.843632992645	1.68349795127091e-14	1.30702794104724e-12	23.3774320301271
11804	8.6246276430338	8.19465492968686	139.054072388514	1.48526523423314e-14	1.30702794104724e-12	23.3765728586773
14107	7.67972783444634	7.24462560630245	137.046266880365	1.66413462422176e-14	1.30702794104724e-12	23.3725699673454
22284	7.52379954104241	7.38606753231536	136.707873835968	1.69661298246453e-14	1.30702794104724e-12	23.3702043030033
56445	7.16539050519152	7.4415153981421	136.065055153988	1.76029790679139e-14	1.30702794104724e-12	23.3680753342345
98952	7.37978939415422	6.88697798058654	136.228457690461	1.7438575696373e-14	1.30702794104724e-12	23.3611012222109
20249	8.16797498168751	11.1062607572197	137.657185912222	1.60725964642833e-14	1.30702794104724e-12	23.3609934161276
207304	7.70367674715029	7.88961218116042	136.778935742884	1.68973372243127e-14	1.30702794104724e-12	23.360637088241
75705	8.4245119499492	8.21328656165122	138.168167578821	1.56136883268041e-14	1.30702794104724e-12	23.3603776094687
75956	9.24098695808541	9.10417417264589	140.296253482717	1.38550015282323e-14	1.30702794104724e-12	23.3603004107618
68059	7.19886828069761	7.67989324702199	135.884668991174	1.77865033572378e-14	1.30702794104724e-12	23.3590573311615
75320	7.16660791263977	6.75842213769041	135.831941766181	1.78405547201373e-14	1.30702794104724e-12	23.3588348623277
15439	7.16313772703426	3.92920480148205	135.819143382464	1.78537024332928e-14	1.30702794104724e-12	23.3585295732914
433182	7.96872607740138	8.77275399069967	136.980113482849	1.6704283709306e-14	1.30702794104724e-12	23.3497467932183
19359	7.34278334032502	7.61647540694523	135.81013307805	1.78629652270176e-14	1.30702794104724e-12	23.3470863106189
100040123	7.27383038726003	7.02347995962924	135.649692963498	1.80288121037614e-14	1.30702794104724e-12	23.3451338484099
269523	7.2181205968965	7.66919963868835	135.531146751703	1.81524690713627e-14	1.30702794104724e-12	23.3439147333933
16785	9.13800873196671	9.04882555102824	139.511866511976	1.44758403211786e-14	1.30702794104724e-12	23.34371944086
69116	7.48651540259362	7.57757758278104	135.791263079873	1.78823815720784e-14	1.30702794104724e-12	23.3370054262452
432798	7.10316513380369	6.86550838120929	135.060919472112	1.8652480133599e-14	1.30702794104724e-12	23.3318138899851
18477	8.09286528261507	8.17691325626968	136.73848121886	1.69364612138154e-14	1.30702794104724e-12	23.3316325226132
15384	8.97749031778182	8.92027892049299	138.628055598084	1.52132709701835e-14	1.30702794104724e-12	23.3284844539024
76808	8.36027752929866	8.14839220535745	137.148718788414	1.65444019592069e-14	1.30702794104724e-12	23.3272446810689
106143	7.130431101899	6.7404741341401	134.806046409404	1.89299767112627e-14	1.30702794104724e-12	23.3201609969643
